patient,file,start_sec,end_sec,label,model,drive,noise_intensity,substeps,trials,valid_trials,invalid_trials,valid_fraction,coherence_median,coherence_sd,snr_mean,snr_valid_trials,snr_sd,events_mean,clipped_fraction_max
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,0.0,2,3,0,3,0.0,,,,0,,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,0.1,1,3,0,3,0.0,,,-4.158323339435261,3,6.96395631531786,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,0.1,2,3,0,3,0.0,,,-6.458929529274745,3,6.131348795419742,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,0.5,1,3,0,3,0.0,,,-3.9547820113940575,3,6.683582619811045,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,0.5,2,3,0,3,0.0,,,-6.268792334074949,3,6.207182565030888,1.3333333333333333,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,2.0,1,3,0,3,0.0,,,-4.210849566305818,3,6.652191402816135,4.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,2.0,2,3,1,2,0.3333333333333333,2.6433596668467367,,-6.285268844928801,3,5.869339786240213,4.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,0.0,1,3,0,3,0.0,,,12.4153279563708,3,0.0,2.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,0.0,2,3,0,3,0.0,,,12.415926576033193,3,0.0,2.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,0.1,1,3,2,1,0.6666666666666666,6.274064801660337,0.8096254428521968,-5.055112172369784,3,5.626627617334086,4.333333333333333,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,0.1,2,3,2,1,0.6666666666666666,1.5712978491172964,0.6318722382534446,-3.497799347813866,3,0.2990855884783836,4.333333333333333,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,0.5,1,3,2,1,0.6666666666666666,3.136908389817772,1.2422246733140994,-6.853075042433314,3,6.282025427675212,4.333333333333333,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,0.5,2,3,3,0,1.0,1.7064915403178866,0.4016530256689405,-6.845155945355104,3,1.0934721877085585,5.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,2.0,1,3,3,0,1.0,5.686259760600064,7.177554515263284,-3.7978752502868396,3,6.078253742102887,4.666666666666667,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,2.0,2,3,2,1,0.6666666666666666,1.9894433450888918,0.17617518678119273,-8.595276163809244,3,1.7115063361298781,5.666666666666667,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,0.0,1,3,0,3,0.0,,,-24.3049787530262,3,0.0,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,0.0,2,3,0,3,0.0,,,-24.304187586635333,3,4.351167857633658e-15,0.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,0.1,1,3,2,1,0.6666666666666666,11.000921356766863,6.848801806917264,-3.7485917317826143,3,3.825367637351173,4.666666666666667,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,0.1,2,3,2,1,0.6666666666666666,1.553784593934036,0.6767283204769727,-9.884711811823566,3,1.8112675877258235,4.0,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,0.5,1,3,2,1,0.6666666666666666,3.136908389817772,1.2422246733140994,-4.480333155794738,3,3.4518394262957415,4.333333333333333,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,0.5,2,3,3,0,1.0,1.753647283388935,0.4447345856650877,-9.848462132548567,3,1.9923161374168576,5.333333333333333,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,2.0,1,3,3,0,1.0,5.686259760600064,7.177554515263284,-2.55749932247096,3,5.014336946869991,4.666666666666667,0.0
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,2.0,2,3,2,1,0.6666666666666666,1.9456357771803436,0.11422193011034362,-9.807751143288362,3,2.4018186986873418,5.666666666666667,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.0,1,3,0,3,0.0,,,14.25681675413738,3,0.0,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.0,2,3,0,3,0.0,,,14.256813962561537,3,0.0,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.1,1,3,0,3,0.0,,,-2.143477082999912,3,5.8713433558725985,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.1,2,3,0,3,0.0,,,1.5987657412493521,3,4.35300250906105,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.5,1,3,0,3,0.0,,,-3.3967566009591903,3,10.011567204977288,0.6666666666666666,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.5,2,3,0,3,0.0,,,1.1009034942702842,3,3.867475744173441,0.6666666666666666,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2.0,1,3,0,3,0.0,,,-4.067485112030369,3,11.937325546672186,3.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2.0,2,3,0,3,0.0,,,0.9757344776650129,3,3.7574032906593313,2.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.0,1,3,0,3,0.0,,,,0,,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.0,2,3,0,3,0.0,,,,0,,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.1,1,3,0,3,0.0,,,-1.9429506276325779,3,9.014467633346737,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.1,2,3,0,3,0.0,,,0.8150251389337888,3,4.079378454420526,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.5,1,3,0,3,0.0,,,-2.0288754855519744,3,9.167344911554233,0.6666666666666666,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.5,2,3,0,3,0.0,,,0.7781617186859634,3,4.0333784282715275,0.6666666666666666,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2.0,1,3,0,3,0.0,,,-2.595694853745655,3,10.145112762596039,3.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2.0,2,3,0,3,0.0,,,0.8057280991120591,3,3.974095664925558,2.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,0.0,1,3,3,0,1.0,136.47160876900367,0.0,14.251319268590715,3,0.0,4.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,0.0,2,3,3,0,1.0,136.47160876900367,0.0,14.251311191348881,3,0.0,4.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,0.1,1,3,3,0,1.0,0.9447289782711243,0.2576418925312229,-0.25863122466584176,3,7.658878472997288,6.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,0.1,2,3,3,0,1.0,1.6698921634040849,3.0567332809509007,-4.129230291939694,3,7.063807541695067,4.666666666666667,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,0.5,1,3,3,0,1.0,1.2476472821919817,3.5221400292363354,-2.2880379326194604,3,7.104548691696885,5.333333333333333,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,0.5,2,3,3,0,1.0,2.606012132693108,1.1508314632386958,-8.583411119485804,3,12.08931764205457,5.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,2.0,1,3,2,1,0.6666666666666666,5.119018144178146,2.946659549012778,-1.433437440348463,3,3.7050148664358455,4.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,2.0,2,3,2,1,0.6666666666666666,1.4971193625152759,0.4676591534168928,-4.80952446497919,3,6.7745544712513555,4.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.0,1,3,0,3,0.0,,,-0.5670379183563145,3,0.0,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.0,2,3,0,3,0.0,,,-0.5670378174600146,3,0.0,0.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.1,1,3,3,0,1.0,0.8869114539836145,0.26334785806981154,-1.1655347658150264,3,1.8990351581032858,6.333333333333333,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.1,2,3,3,0,1.0,1.991442831968951,2.9694241071968923,-2.996084365214888,3,4.571523036577149,5.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.5,1,3,3,0,1.0,1.2476472821919817,3.5221400292363354,-1.1753416397224512,3,1.910887181009523,5.333333333333333,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,0.5,2,3,3,0,1.0,2.606012132693108,1.1508314632386958,-2.9138036103051466,3,4.5228109933586,5.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,2.0,1,3,2,1,0.6666666666666666,5.119018144178146,2.946659549012778,-1.2089791764542823,3,1.9186956108728175,4.0,0.0
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,2.0,2,3,2,1,0.6666666666666666,1.4971193625152759,0.4676591534168928,-2.8627382398786456,3,4.3865262037443955,4.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,0.0,1,3,0,3,0.0,,,10.035410993206469,3,0.0,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,0.0,2,3,0,3,0.0,,,10.03532802336873,3,0.0,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,0.1,1,3,0,3,0.0,,,-3.9585457563999396,3,3.517153541646469,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,0.1,2,3,0,3,0.0,,,-8.253381166236117,3,4.188162187280751,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,0.5,1,3,0,3,0.0,,,-6.112554763882464,3,1.9622327878196195,1.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,0.5,2,3,0,3,0.0,,,-8.873581637504154,3,1.1968403521994495,0.3333333333333333,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,2.0,1,3,1,2,0.3333333333333333,1.624193601881135,,-5.579658660448092,3,3.242606962557395,3.6666666666666665,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,eeg_component,2.0,2,3,0,3,0.0,,,-8.526386711352572,3,0.0955423294309156,2.3333333333333335,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,0.0,1,3,0,3,0.0,,,,0,,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,0.0,2,3,0,3,0.0,,,,0,,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,0.1,1,3,0,3,0.0,,,-5.791915689738604,3,5.0969993552548685,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,0.1,2,3,0,3,0.0,,,-6.128315617917703,3,1.4271632614294523,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,0.5,1,3,0,3,0.0,,,-7.087256758913505,3,3.7271965856163773,1.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,0.5,2,3,0,3,0.0,,,-7.653127911435489,3,3.0615297283558314,0.3333333333333333,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,2.0,1,3,1,2,0.3333333333333333,1.6222833881546683,,-5.789602037954315,3,3.3639345792019357,3.6666666666666665,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,bistable_driven_regularity,no_external_drive,2.0,2,3,0,3,0.0,,,-7.8117051005479565,3,1.4879584946657978,2.3333333333333335,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,0.0,1,3,0,3,0.0,,,8.818120088256101,3,0.0,2.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,0.0,2,3,0,3,0.0,,,8.81809890201549,3,0.0,2.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,0.1,1,3,3,0,1.0,3.810035155712222,7.400604550695386,-4.825552249060455,3,5.424269187191128,5.333333333333333,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,0.1,2,3,3,0,1.0,1.622418064103289,1.123623384648411,-5.459156436036231,3,5.4776768556233675,5.333333333333333,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,0.5,1,3,2,1,0.6666666666666666,4.752967965660509,2.3268628234767634,-10.378175321224383,3,10.175609429079104,4.666666666666667,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,0.5,2,3,3,0,1.0,2.1393219897352176,2.7409811293867157,-7.676098190664,3,3.10132530504825,5.666666666666667,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,2.0,1,3,3,0,1.0,3.525268856847991,1.3192154643960043,-15.264826406655203,3,17.287862820570133,5.333333333333333,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,eeg_component,2.0,2,3,3,0,1.0,1.7845227074651457,2.762449951233017,-8.6867437013482,3,1.8829829141513292,6.333333333333333,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,0.0,1,3,0,3,0.0,,,-34.28684086866537,3,0.0,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,0.0,2,3,0,3,0.0,,,-34.283670808803414,3,0.0,0.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,0.1,1,3,3,0,1.0,3.8865188004241387,8.274192023936413,-10.586946252163468,3,9.43354934905768,5.333333333333333,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,0.1,2,3,3,0,1.0,1.622418064103289,0.7920989366131785,-10.61193347174371,3,2.748758982659779,5.666666666666667,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,0.5,1,3,2,1,0.6666666666666666,4.752967965660509,2.3268628234767634,-10.681998479670975,3,9.551666104152142,4.666666666666667,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,0.5,2,3,3,0,1.0,2.1393219897352176,2.715443304481466,-10.396656281765983,3,3.0883048809034346,5.666666666666667,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,2.0,1,3,2,1,0.6666666666666666,3.716755116185543,0.27080246496325766,-10.416881173904796,3,8.786219404394664,5.0,0.0
chb02,chb02_16+.edf,2980.0,2984.0,1,fhn_sde,no_external_drive,2.0,2,3,3,0,1.0,1.7845227074651457,2.762449951233017,-10.407865108460948,3,2.923891366413828,6.333333333333333,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.0,1,3,0,3,0.0,,,11.46455637153226,3,0.0,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.0,2,3,0,3,0.0,,,11.463562777230038,3,0.0,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.1,1,3,0,3,0.0,,,-7.667083410707696,3,6.920239511518163,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.1,2,3,0,3,0.0,,,-10.702761265471523,3,8.09383182341347,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.5,1,3,0,3,0.0,,,-10.162396949403837,3,4.943409399784154,0.6666666666666666,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,0.5,2,3,0,3,0.0,,,-14.334809852459756,3,14.46426027611695,0.6666666666666666,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2.0,1,3,0,3,0.0,,,-8.63373653935108,3,3.818249128323431,2.6666666666666665,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2.0,2,3,0,3,0.0,,,-11.44432567026404,3,8.713668213255026,2.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.0,1,3,0,3,0.0,,,,0,,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.0,2,3,0,3,0.0,,,,0,,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.1,1,3,0,3,0.0,,,-8.17274320549833,3,2.9756388726295464,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.1,2,3,0,3,0.0,,,-11.487241383295853,3,12.404094981897295,0.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.5,1,3,0,3,0.0,,,-10.30179097354222,3,3.218103434731388,0.6666666666666666,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,0.5,2,3,0,3,0.0,,,-11.649954655265738,3,11.132775365601319,0.6666666666666666,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2.0,1,3,0,3,0.0,,,-8.776200210369845,3,2.7391995150958057,2.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2.0,2,3,0,3,0.0,,,-10.49698300237979,3,7.9907853499853525,2.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,eeg_component,0.0,1,3,0,3,0.0,,,3.4226136789093218,3,0.0,2.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,eeg_component,0.0,2,3,0,3,0.0,,,3.4206884850213775,3,5.438959822042073e-16,2.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,eeg_component,0.1,1,3,3,0,1.0,1.2567061133065383,0.6161891759525728,-6.242114704169496,3,12.099550318516595,5.666666666666667,0.0
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,eeg_component,0.1,2,3,2,1,0.6666666666666666,3.5303934866622706,2.007908616873997,-7.283251251079361,3,1.9107887064186222,5.0,0.0
chb08,chb08_21.edf,0.0,4.0,0,fhn_sde,eeg_component,0.5,1,3,3,0,1.0,1.8406316770857982,4.362802964488526,-4.336370514454745,3,7.4604831272062535,6.333333333333333,0.0
