patient,file,start_sec,end_sec,0,1,2,3
chb03,chb03_10.edf,904.0,908.0,-14.239640459598585,-14.661069239248798,-15.337451334545245,-13.400930745328077
chb03,chb03_10.edf,2700.0,2704.0,-15.53436978382912,-15.95271026707378,-16.583070977610948,-14.52726254575725
chb03,chb03_34.edf,904.0,908.0,-17.824293132272444,-20.04597574846816,-21.20801763785341,-16.426227201695035
chb03,chb03_34.edf,2700.0,2704.0,-19.10520395525997,-19.86128663590138,-20.256594253804785,-18.581895487380127
chb03,chb03_35.edf,904.0,908.0,-19.786001072546078,-20.008212249463178,-21.920687399848397,-18.244005328051607
chb03,chb03_35.edf,2700.0,2704.0,-16.571745361328244,-17.56550579312708,-18.95636387456135,-17.648472427491548
chb03,chb03_36.edf,904.0,908.0,-17.09943811169033,-18.946436878180442,-20.77221680019598,-15.795421870338824
chb03,chb03_36.edf,2700.0,2704.0,-21.443790946238785,-23.309635645837247,-24.27367134695333,-21.142564839412113
chb05,chb05_01.edf,908.0,912.0,-18.774395199044584,-20.380285414689073,-21.043828547697235,-18.28290359521074
chb05,chb05_01.edf,2704.0,2708.0,-17.370963535822888,-18.75539640177957,-20.091454579156782,-19.0818367444216
chb05,chb05_02.edf,904.0,908.0,-22.110006963879194,-20.75617354168174,-22.841771885005276,-19.861293672767772
chb05,chb05_02.edf,2700.0,2704.0,-11.146457287222354,-10.90014122797268,-11.795371600727071,-9.717826136023834
chb05,chb05_03.edf,904.0,908.0,-16.700734213547996,-17.21558945823108,-17.706823234482677,-16.209107925821726
chb05,chb05_03.edf,2700.0,2704.0,-14.322617527002905,-15.496089901467462,-16.757186569787144,-14.25076287733378
chb05,chb05_06.edf,904.0,908.0,-15.366557444404354,-16.255476979326165,-16.802801282410986,-15.351459594875667
chb05,chb05_06.edf,2700.0,2704.0,-15.17140817010554,-14.637436160218531,-16.16730852055275,-15.91589144862964
chb05,chb05_10.edf,904.0,908.0,-20.64837715885958,-21.416228381822755,-21.63373564383515,-20.070264652564425
chb05,chb05_10.edf,2700.0,2704.0,-18.78144828593404,-20.236016174052118,-20.202186432660717,-19.26512517498667
chb05,chb05_13.edf,904.0,908.0,-14.87918271546551,-17.106513818993633,-17.9166056340703,-13.131880783781181
chb05,chb05_13.edf,2700.0,2704.0,-20.94409311163445,-23.10490210284428,-24.272961629717383,-19.620121298782028
chb05,chb05_16.edf,904.0,908.0,-13.45439518856305,-14.533696195572494,-15.447776698912838,-13.014561641666006
chb05,chb05_16.edf,2700.0,2704.0,-20.50349019041034,-20.66441272265671,-22.05657202426571,-19.9486286591317
chb05,chb05_17.edf,904.0,908.0,-17.723283572214086,-18.892587568904084,-19.93921685964825,-19.13113428992451
chb05,chb05_17.edf,2700.0,2704.0,-13.400415666859683,-14.482743208828088,-14.788830076791985,-12.72667398564966
chb05,chb05_22.edf,904.0,908.0,-17.36201034739576,-18.231202625832744,-19.291694921886823,-18.30251364272481
chb05,chb05_22.edf,2700.0,2704.0,-19.93278608433126,-18.714203224297204,-20.456525163288244,-19.69480288246387
chb08,chb08_02.edf,904.0,908.0,-18.740786079592937,-18.32604298424687,-20.727429100750278,-17.37426371242615
chb08,chb08_02.edf,2700.0,2704.0,-18.62413814281974,-18.625669676208485,-20.69004848948314,-17.091347390073217
chb08,chb08_03.edf,904.0,908.0,-16.489648384340367,-16.321557594853132,-17.803131388339057,-15.022159666676805
chb08,chb08_03.edf,2700.0,2704.0,-20.119186101261107,-22.423533291194552,-23.195961853363997,-18.96068953021977
chb08,chb08_05.edf,904.0,908.0,-20.34036333109055,-20.10983634802335,-20.80288034306296,-18.982612636917327
chb08,chb08_05.edf,2700.0,2704.0,-15.543918276437196,-16.199955515837193,-16.329358263037086,-14.381382555546145
chb08,chb08_10.edf,904.0,908.0,-17.082838625045376,-16.547101281127972,-18.832849725538924,-15.621643296729578
chb08,chb08_10.edf,2700.0,2704.0,-11.426803315920637,-12.949061107817817,-13.62799593719881,-11.228519505921218
chb08,chb08_11.edf,904.0,908.0,-13.33537478950348,-15.187736854180503,-17.42727451907456,-11.924941063576135
chb08,chb08_11.edf,2700.0,2704.0,-20.414515116316988,-20.969993413617257,-20.38198518432707,-17.152814276261036
chb08,chb08_13.edf,904.0,908.0,-17.786021146788094,-19.896035239633022,-20.653649962858818,-16.111417146511037
chb08,chb08_13.edf,2700.0,2704.0,-17.281674570955612,-18.97282212475213,-20.315346098474535,-16.826894055633048
chb08,chb08_21.edf,904.0,908.0,-14.569076079151248,-15.375626953931084,-16.127950183195395,-13.875495113534615
chb08,chb08_21.edf,2700.0,2704.0,-9.675182595450305,-11.549403616782033,-13.53612192624224,-8.241893520387546
