patient,file,start_sec,mode,seed,sr_value,cr_value,sr_reason,cr_reason,frequency,max_clipped_fraction,bistable_valid,bistable_reason,bistable_events,bistable_intervals,bistable_cv,fhn_events,fhn_intervals,fhn_valid
chb01,chb01_03.edf,4.0,centered,43,-7.824706523180074,0.8619201811912605,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_03.edf,4.0,centered,44,-15.800344143200014,0.9582545980435712,ok,ok,1.0,0.0,True,ok,6,5,0.7582430778110462,11,9,True
chb01,chb01_03.edf,1800.0,centered,42,-14.455077486937828,0.8809953131673368,ok,ok,1.4000000000000001,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_03.edf,1800.0,centered,43,-19.51817282729187,0.8930337779060793,ok,ok,1.4000000000000001,0.0,False,insufficient_intervals,0,0,,16,14,True
chb01,chb01_03.edf,1800.0,centered,44,-20.24485631305557,0.5234424491170963,ok,ok,1.4000000000000001,0.0,True,ok,6,5,0.758060203066824,10,8,True
chb01,chb01_03.edf,3592.0,centered,42,-27.45117890542859,1.025530060854294,ok,ok,16.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_03.edf,3592.0,centered,43,-26.40681190435847,0.7927189995908239,ok,ok,16.0,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_03.edf,3592.0,centered,44,-25.879168840911273,0.5848473317658375,ok,ok,16.0,0.0,True,ok,6,5,0.755827867973932,11,10,True
chb01,chb01_03.edf,8.0,trailing,42,-10.545661974363172,1.0515563316295375,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,13,10,True
chb01,chb01_03.edf,8.0,trailing,43,-7.9041236662611185,0.8260691097618758,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_03.edf,8.0,trailing,44,-15.691632794467456,0.5214525148879743,ok,ok,1.0,0.0,True,ok,6,5,0.7614007368843947,10,8,True
chb01,chb01_03.edf,1804.0,trailing,42,-13.980870185548893,0.8606580546557882,ok,ok,1.4000000000000001,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_03.edf,1804.0,trailing,43,-19.241599784465794,0.8260691097618758,ok,ok,1.4000000000000001,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_03.edf,1804.0,trailing,44,-20.103079050300142,0.5801835197482597,ok,ok,1.4000000000000001,0.0,True,ok,6,5,0.7318522987648967,11,10,True
chb01,chb01_03.edf,3596.0,trailing,42,-26.921362177153785,1.025530060854294,ok,ok,16.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_03.edf,3596.0,trailing,43,-25.79433988156364,0.7927189995908239,ok,ok,16.0,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_03.edf,3596.0,trailing,44,-25.206754148161302,0.5905685842667504,ok,ok,16.0,0.0,True,ok,6,5,0.755827867973932,11,10,True
chb01,chb01_04.edf,4.0,centered,42,-7.686265125511901,0.8568946371721161,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_04.edf,4.0,centered,43,-10.522480934826467,0.8179222189247507,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_04.edf,4.0,centered,44,-13.786747524793814,0.5832620601751652,ok,ok,1.3,0.0,True,ok,6,5,0.7787019397703244,11,10,True
chb01,chb01_04.edf,1800.0,centered,42,-9.705465912750268,0.963959852090742,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,14,11,True
chb01,chb01_04.edf,1800.0,centered,43,-16.44841306756284,0.8304915167246676,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,15,12,True
chb01,chb01_04.edf,1800.0,centered,44,-17.69733718600891,0.5848473317658375,ok,ok,1.5,0.0,True,ok,6,5,0.755827867973932,11,10,True
chb01,chb01_04.edf,3592.0,centered,42,-9.465773111448442,0.9215600573304648,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_04.edf,3592.0,centered,43,-8.551311267362543,0.8024622443693074,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,14,13,True
chb01,chb01_04.edf,3592.0,centered,44,-16.019366373011867,0.5875283299301702,ok,ok,1.0,0.0,True,ok,6,5,0.7578725220801705,11,10,True
chb01,chb01_04.edf,8.0,trailing,42,-10.081077421322373,0.8867435039767271,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,13,10,True
chb01,chb01_04.edf,8.0,trailing,43,-11.606336286344241,0.8839923177751691,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,16,14,True
chb01,chb01_04.edf,8.0,trailing,44,-15.344507935955775,0.5848473317658375,ok,ok,1.3,0.0,True,ok,6,5,0.7386718741464026,11,10,True
chb01,chb01_04.edf,1804.0,trailing,42,-11.703745796073822,0.9168986518918317,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_04.edf,1804.0,trailing,43,-15.945772706159147,0.8589730813677661,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_04.edf,1804.0,trailing,44,-17.323307189046652,0.5801835197482597,ok,ok,1.5,0.0,True,ok,6,5,0.7563250410841427,11,10,True
chb01,chb01_04.edf,3596.0,trailing,42,-8.307458872540607,0.8500734023639607,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_04.edf,3596.0,trailing,43,-7.805068180723628,0.862175938895508,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,14,13,True
chb01,chb01_04.edf,3596.0,trailing,44,-16.08067459099093,0.5775528038221884,ok,ok,1.0,0.0,True,ok,6,5,0.7664612371743402,11,10,True
chb01,chb01_05.edf,4.0,centered,42,-22.211361577327594,0.9345659351916152,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_05.edf,4.0,centered,43,-17.191102244942293,0.7927189995908239,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_05.edf,4.0,centered,44,-22.45578886841102,0.5848473317658375,ok,ok,2.5,0.0,True,ok,6,5,0.7609209406661214,11,10,True
chb01,chb01_05.edf,1800.0,centered,42,-17.614992365533524,0.8809953131673368,ok,ok,1.7000000000000002,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_05.edf,1800.0,centered,43,-18.3982622259868,0.8210858044271492,ok,ok,1.7000000000000002,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_05.edf,1800.0,centered,44,-22.22347195256957,0.5801835197482597,ok,ok,1.7000000000000002,0.0,True,ok,6,5,0.7565097053092892,11,10,True
chb01,chb01_05.edf,3592.0,centered,42,-10.560883581845351,1.0448530530606388,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_05.edf,3592.0,centered,43,-16.230770167504307,0.8619201811912605,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_05.edf,3592.0,centered,44,-17.638410225308483,0.6453962439929484,ok,ok,1.5,0.0,True,ok,6,5,0.7552562437778875,12,11,True
chb01,chb01_05.edf,8.0,trailing,42,-19.78187090108541,0.9394745874762352,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_05.edf,8.0,trailing,43,-17.317453642872177,0.7927189995908239,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_05.edf,8.0,trailing,44,-19.997750746474157,0.5775528038221884,ok,ok,2.5,0.0,True,ok,6,5,0.755827867973932,11,10,True
chb01,chb01_05.edf,1804.0,trailing,42,-5.41976130856753,1.025530060854294,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_05.edf,1804.0,trailing,43,-4.136464276816879,0.7768462554187284,ok,ok,1.0,0.0,False,insufficient_intervals,2,1,,14,12,True
chb01,chb01_05.edf,1804.0,trailing,44,-11.395044923794531,0.9446385835551379,ok,ok,1.0,0.0,True,ok,6,5,0.6045372611451694,10,8,True
chb01,chb01_05.edf,3596.0,trailing,42,-12.248226579228936,0.963959852090742,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,14,11,True
chb01,chb01_05.edf,3596.0,trailing,43,-19.11941174996026,0.8210858044271492,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_05.edf,3596.0,trailing,44,-19.865166091681633,0.5234424491170963,ok,ok,1.5,0.0,True,ok,6,5,0.7565097053092892,10,8,True
chb01,chb01_10.edf,4.0,centered,42,-10.681523634777797,1.018569118814605,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_10.edf,4.0,centered,43,-12.627490455446878,0.7662244358987493,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_10.edf,4.0,centered,44,-16.648116162599568,0.5801835197482597,ok,ok,1.3,0.0,True,ok,6,5,0.7351322560408048,11,10,True
chb01,chb01_10.edf,1800.0,centered,42,-13.471779934925133,0.9394745874762352,ok,ok,1.9000000000000001,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_10.edf,1800.0,centered,43,-18.601957655193655,0.8619201811912606,ok,ok,1.9000000000000001,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_10.edf,1800.0,centered,44,-20.255085436049306,0.6453962439929484,ok,ok,1.9000000000000001,0.0,True,ok,6,5,0.755827867973932,12,11,True
chb01,chb01_10.edf,3592.0,centered,42,-13.0589959496755,0.8809953131673368,ok,ok,3.1,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_10.edf,3592.0,centered,43,-18.168610020454587,0.7927189995908239,ok,ok,3.1,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_10.edf,3592.0,centered,44,-19.056509988032225,0.5698487593168222,ok,ok,3.1,0.0,True,ok,6,5,0.755827867973932,11,9,True
chb01,chb01_10.edf,8.0,trailing,42,-8.48285767913374,1.0515563316295375,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,13,10,True
chb01,chb01_10.edf,8.0,trailing,43,-9.857502991723672,0.7927189995908239,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_10.edf,8.0,trailing,44,-13.550714323018333,0.5848473317658375,ok,ok,1.3,0.0,True,ok,6,5,0.7613662864607882,11,10,True
chb01,chb01_10.edf,1804.0,trailing,42,-15.695372535684498,0.9394745874762352,ok,ok,1.8,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_10.edf,1804.0,trailing,43,-18.06034045908477,0.8619201811912605,ok,ok,1.8,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_10.edf,1804.0,trailing,44,-20.55439277046162,0.5214525148879743,ok,ok,1.8,0.0,True,ok,6,5,0.7547361622335885,10,8,True
chb01,chb01_10.edf,3596.0,trailing,42,-15.500171233414921,0.9345659351916152,ok,ok,3.1,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_10.edf,3596.0,trailing,43,-21.33612521116884,0.7927189995908239,ok,ok,3.1,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_10.edf,3596.0,trailing,44,-21.051557568385626,0.51409728914656,ok,ok,3.1,0.0,True,ok,6,5,0.755827867973932,10,8,True
chb01,chb01_15.edf,4.0,centered,42,-5.737898302451871,1.0321561028350597,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_15.edf,4.0,centered,43,-4.258145170283302,0.7625597049676931,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_15.edf,4.0,centered,44,-12.196560816197021,0.5875283299301702,ok,ok,1.0,0.0,True,ok,6,5,0.755827867973932,11,10,True
chb01,chb01_15.edf,1800.0,centered,42,-14.764928182972774,0.9671271878788834,ok,ok,1.7000000000000002,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_15.edf,1800.0,centered,43,-18.66165171203633,0.862175938895508,ok,ok,1.7000000000000002,0.0,False,insufficient_intervals,0,0,,14,13,True
chb01,chb01_15.edf,1800.0,centered,44,-19.98696099545453,0.5773182821390352,ok,ok,1.7000000000000002,0.0,True,ok,6,5,0.7563250410841427,11,9,True
chb01,chb01_15.edf,3592.0,centered,42,-8.729840565478678,0.9605984988978551,ok,ok,10.9,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_15.edf,3592.0,centered,43,-9.049153723154587,0.7927189995908239,ok,ok,10.9,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_15.edf,3592.0,centered,44,-13.284350849437999,0.5832620601751652,ok,ok,10.9,0.0,True,ok,6,5,0.755827867973932,11,10,True
chb01,chb01_15.edf,8.0,trailing,42,-7.811085979274315,0.8937540732103981,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,11,9,True
chb01,chb01_15.edf,8.0,trailing,43,-6.413875242802428,0.7760731329249699,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,13,12,True
chb01,chb01_15.edf,8.0,trailing,44,-15.896052720876654,0.2539604999786908,ok,ok,1.0,0.0,True,ok,6,5,0.7571754489800626,10,9,True
chb01,chb01_15.edf,1804.0,trailing,42,-11.79859030474686,1.0123722281616863,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_15.edf,1804.0,trailing,43,-16.260159444943056,0.8190856436926941,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_15.edf,1804.0,trailing,44,-18.92674579807757,0.5801835197482597,ok,ok,1.6,0.0,True,ok,6,5,0.755827867973932,11,10,True
chb01,chb01_15.edf,3596.0,trailing,42,-17.756983129621222,0.912586625598188,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,13,10,True
chb01,chb01_15.edf,3596.0,trailing,43,-21.82002423139849,0.7846946445372286,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_15.edf,3596.0,trailing,44,-22.926219544118933,0.5214525148879743,ok,ok,1.5,0.0,True,ok,6,5,0.7566157887477064,10,8,True
chb01,chb01_16.edf,4.0,centered,42,-8.382105461371715,0.946507448929672,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_16.edf,4.0,centered,43,-7.847987419243055,0.9104669894514549,ok,ok,1.0,0.0,False,insufficient_intervals,2,1,,14,12,True
chb01,chb01_16.edf,4.0,centered,44,-15.732076517993006,0.5802675057245464,ok,ok,1.0,0.0,True,ok,6,5,0.7645314099875544,11,10,True
chb01,chb01_16.edf,1800.0,centered,42,-9.706332544236059,0.9455946428090657,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_16.edf,1800.0,centered,43,-7.669667462772715,0.8260691097618758,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_16.edf,1800.0,centered,44,-15.287677655208388,0.5832620601751652,ok,ok,1.0,0.0,True,ok,6,5,0.7776264669191154,11,10,True
chb01,chb01_16.edf,3592.0,centered,42,-19.532029828779837,0.9514620792882313,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,15,12,True
chb01,chb01_16.edf,3592.0,centered,43,-16.914485042145852,0.8705017205826545,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,16,14,True
chb01,chb01_16.edf,3592.0,centered,44,-19.999095302810385,0.5621924281366941,ok,ok,2.5,0.0,True,ok,6,5,0.75530224525198,11,9,True
chb01,chb01_16.edf,8.0,trailing,42,-8.621821028802305,1.0468680236404875,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_16.edf,8.0,trailing,43,-7.520236338009996,0.982824642185067,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,14,13,True
chb01,chb01_16.edf,8.0,trailing,44,-16.05925138400939,0.2100566216375997,ok,ok,1.0,0.0,True,ok,6,5,0.7642385751866068,10,9,True
chb01,chb01_16.edf,1804.0,trailing,42,-9.342789576258557,0.8452177404942196,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_16.edf,1804.0,trailing,43,-7.700374972460271,0.8619201811912605,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_16.edf,1804.0,trailing,44,-14.931310218648811,0.9582545980435712,ok,ok,1.0,0.0,True,ok,6,5,0.7293023861713773,11,9,True
chb01,chb01_16.edf,3596.0,trailing,42,-20.21731211733725,0.9345659351916152,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_16.edf,3596.0,trailing,43,-15.879696271497377,0.8619201811912605,ok,ok,2.5,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_16.edf,3596.0,trailing,44,-20.46207228564781,0.5532477442630649,ok,ok,2.5,0.0,True,ok,6,5,0.7572960273799565,10,9,True
chb01,chb01_18.edf,4.0,centered,42,-8.438440502269879,0.9664242192178318,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_18.edf,4.0,centered,43,-6.143985059066337,0.8619201811912606,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_18.edf,4.0,centered,44,-13.424805113412344,0.9582545980435712,ok,ok,1.0,0.0,True,ok,6,5,0.733224855997541,11,9,True
chb01,chb01_18.edf,1800.0,centered,42,-10.449184349241378,0.9062277067811949,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,13,10,True
chb01,chb01_18.edf,1800.0,centered,43,-15.602382887305911,0.8619201811912606,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_18.edf,1800.0,centered,44,-17.224648975413235,0.5214525148879743,ok,ok,1.6,0.0,True,ok,6,5,0.7618460196526409,10,8,True
chb01,chb01_18.edf,3592.0,centered,42,-10.507567377174189,1.0036339976325919,ok,ok,1.2000000000000002,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_18.edf,3592.0,centered,43,-11.346792116192738,0.7299892257406878,ok,ok,1.2000000000000002,0.0,False,insufficient_intervals,2,1,,13,11,True
chb01,chb01_18.edf,3592.0,centered,44,-15.035281141695457,1.072188601914789,ok,ok,1.2000000000000002,0.0,True,ok,6,5,0.7632543223436933,14,12,True
chb01,chb01_18.edf,8.0,trailing,42,-10.576389780671185,0.9395787808082281,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,14,11,True
chb01,chb01_18.edf,8.0,trailing,43,-8.553594999684776,0.8375971559489783,ok,ok,1.0,0.0,False,insufficient_intervals,2,1,,12,11,True
chb01,chb01_18.edf,8.0,trailing,44,-15.89341756228032,0.5214525148879743,ok,ok,1.0,0.0,True,ok,6,5,0.7588676247373229,10,8,True
chb01,chb01_18.edf,1804.0,trailing,42,-10.783874897750582,0.9455946428090657,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_18.edf,1804.0,trailing,43,-17.499602264459135,0.8210858044271492,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_18.edf,1804.0,trailing,44,-18.467448111648928,0.5817771800451791,ok,ok,1.6,0.0,True,ok,6,5,0.7393664879797375,11,10,True
chb01,chb01_18.edf,3596.0,trailing,42,-6.726968914028058,1.087807303626947,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,16,14,True
chb01,chb01_18.edf,3596.0,trailing,43,-5.166890946385381,0.7977717408741013,ok,ok,1.0,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_18.edf,3596.0,trailing,44,-14.148858204009185,0.5214525148879743,ok,ok,1.0,0.0,True,ok,6,5,0.7602691114830681,10,8,True
chb01,chb01_21.edf,4.0,centered,42,-11.056024940854638,0.9664242192178318,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,12,10,True
chb01,chb01_21.edf,4.0,centered,43,-16.90245556203743,0.7927189995908239,ok,ok,1.5,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_21.edf,4.0,centered,44,-17.32264031046357,0.5214525148879743,ok,ok,1.5,0.0,True,ok,6,5,0.756769590998055,10,8,True
chb01,chb01_21.edf,1800.0,centered,42,-10.791458748887226,0.9394745874762352,ok,ok,11.600000000000001,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_21.edf,1800.0,centered,43,-9.524185292228491,0.7927189995908239,ok,ok,11.600000000000001,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_21.edf,1800.0,centered,44,-7.651712050468063,0.5832620601751652,ok,ok,11.600000000000001,0.0,True,ok,6,5,0.7566157887477064,11,10,True
chb01,chb01_21.edf,3592.0,centered,42,-13.293080482907135,1.025530060854294,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,15,13,True
chb01,chb01_21.edf,3592.0,centered,43,-17.950902802705333,0.7479903343202925,ok,ok,1.6,0.0,False,insufficient_intervals,0,0,,14,12,True
chb01,chb01_21.edf,3592.0,centered,44,-19.900884646307937,0.5832620601751652,ok,ok,1.6,0.0,True,ok,6,5,0.7555394635227161,11,10,True
chb01,chb01_21.edf,8.0,trailing,42,-9.128447526339057,0.9407179254251196,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,13,11,True
chb01,chb01_21.edf,8.0,trailing,43,-11.001055965882376,0.7971375479513516,ok,ok,1.3,0.0,False,insufficient_intervals,0,0,,13,12,True
chb01,chb01_21.edf,8.0,trailing,44,-14.07388095044507,0.5832620601751652,ok,ok,1.3,0.0,True,ok,6,5,0.7745967931442698,11,10,True
chb01,chb01_21.edf,1804.0,trailing,42,-13.905431028060857,1.025530060854294,ok,ok,11.5,0.0,False,insufficient_intervals,0,0,,15,13,True
