patient,feature,family,measure,channel,band
chb02,time__line_length__FT9-FT10,time,line_length,FT9-FT10,not_applicable
chb02,entropy__spectral__FT9-FT10,entropy,spectral,FT9-FT10,not_applicable
chb02,freq__delta__T7-P7,freq,delta,T7-P7,delta
chb02,hjorth__complexity__C3-P3,hjorth,complexity,C3-P3,not_applicable
chb02,freq__beta__P7-O1,freq,beta,P7-O1,beta
chb02,freq__beta__F4-C4,freq,beta,F4-C4,beta
chb02,hjorth__activity__F8-T8,hjorth,activity,F8-T8,not_applicable
chb02,freq__gamma__F3-C3,freq,gamma,F3-C3,gamma
chb02,time__line_length__FZ-CZ,time,line_length,FZ-CZ,not_applicable
chb02,time__line_length__P7-T7,time,line_length,P7-T7,not_applicable
chb02,entropy__spectral__CZ-PZ,entropy,spectral,CZ-PZ,not_applicable
chb02,freq__beta__FT9-FT10,freq,beta,FT9-FT10,beta
chb02,hjorth__complexity__FT10-T8,hjorth,complexity,FT10-T8,not_applicable
chb02,freq__theta__FZ-CZ,freq,theta,FZ-CZ,theta
chb02,time__ptp__F4-C4,time,ptp,F4-C4,not_applicable
chb02,freq__theta__T8-P8,freq,theta,T8-P8,theta
chb02,freq__gamma__P7-O1,freq,gamma,P7-O1,gamma
chb02,hjorth__activity__FP1-F3,hjorth,activity,FP1-F3,not_applicable
chb02,hjorth__mobility__FT10-T8,hjorth,mobility,FT10-T8,not_applicable
chb02,time__ptp__FP2-F4,time,ptp,FP2-F4,not_applicable
chb02,time__line_length__FP1-F7,time,line_length,FP1-F7,not_applicable
chb03,time__std__CZ-PZ,time,std,CZ-PZ,not_applicable
chb03,freq__delta__C4-P4,freq,delta,C4-P4,delta
chb03,hjorth__activity__P4-O2,hjorth,activity,P4-O2,not_applicable
chb03,time__rms__CZ-PZ,time,rms,CZ-PZ,not_applicable
chb03,time__std__P4-O2,time,std,P4-O2,not_applicable
chb03,time__rms__P4-O2,time,rms,P4-O2,not_applicable
chb03,hjorth__activity__CZ-PZ,hjorth,activity,CZ-PZ,not_applicable
chb03,time__rms__C4-P4,time,rms,C4-P4,not_applicable
chb03,time__line_length__P8-O2,time,line_length,P8-O2,not_applicable
chb03,time__line_length__P3-O1,time,line_length,P3-O1,not_applicable
chb03,time__rms__FP2-F4,time,rms,FP2-F4,not_applicable
chb03,hjorth__activity__FP1-F7,hjorth,activity,FP1-F7,not_applicable
chb03,time__line_length__FT10-T8,time,line_length,FT10-T8,not_applicable
chb03,freq__theta__P8-O2,freq,theta,P8-O2,theta
chb03,time__rms__FZ-CZ,time,rms,FZ-CZ,not_applicable
chb03,freq__theta__F8-T8,freq,theta,F8-T8,theta
chb03,time__std__FP1-F7,time,std,FP1-F7,not_applicable
chb03,freq__delta__P8-O2,freq,delta,P8-O2,delta
chb03,time__line_length__FT9-FT10,time,line_length,FT9-FT10,not_applicable
chb03,hjorth__activity__F3-C3,hjorth,activity,F3-C3,not_applicable
chb03,freq__alpha__FT9-FT10,freq,alpha,FT9-FT10,alpha
chb03,time__std__FT10-T8,time,std,FT10-T8,not_applicable
chb03,freq__delta__P4-O2,freq,delta,P4-O2,delta
chb03,hjorth__mobility__CZ-PZ,hjorth,mobility,CZ-PZ,not_applicable
chb03,freq__delta__T8-P8,freq,delta,T8-P8,delta
chb03,hjorth__activity__FP1-F3,hjorth,activity,FP1-F3,not_applicable
chb03,freq__delta__F8-T8,freq,delta,F8-T8,delta
chb03,hjorth__activity__FT9-FT10,hjorth,activity,FT9-FT10,not_applicable
chb03,hjorth__complexity__F7-T7,hjorth,complexity,F7-T7,not_applicable
chb03,entropy__perm__FZ-CZ,entropy,perm,FZ-CZ,not_applicable
chb03,freq__beta__F3-C3,freq,beta,F3-C3,beta
chb03,time__rms__F8-T8,time,rms,F8-T8,not_applicable
chb03,freq__theta__FP2-F4,freq,theta,FP2-F4,theta
chb03,hjorth__mobility__P7-O1,hjorth,mobility,P7-O1,not_applicable
chb03,freq__alpha__P4-O2,freq,alpha,P4-O2,alpha
chb03,time__ptp__FP1-F3,time,ptp,FP1-F3,not_applicable
chb03,time__ptp__P4-O2,time,ptp,P4-O2,not_applicable
chb03,freq__gamma__P7-O1,freq,gamma,P7-O1,gamma
chb03,freq__beta__CZ-PZ,freq,beta,CZ-PZ,beta
chb03,time__rms__FT10-T8,time,rms,FT10-T8,not_applicable
chb03,freq__alpha__F3-C3,freq,alpha,F3-C3,alpha
chb03,freq__theta__FZ-CZ,freq,theta,FZ-CZ,theta
chb03,time__ptp__T7-P7,time,ptp,T7-P7,not_applicable
chb03,freq__alpha__CZ-PZ,freq,alpha,CZ-PZ,alpha
chb03,freq__alpha__P7-T7,freq,alpha,P7-T7,alpha
chb03,hjorth__mobility__F3-C3,hjorth,mobility,F3-C3,not_applicable
chb03,entropy__spectral__F3-C3,entropy,spectral,F3-C3,not_applicable
chb03,time__std__F4-C4,time,std,F4-C4,not_applicable
chb03,time__ptp__CZ-PZ,time,ptp,CZ-PZ,not_applicable
chb03,time__line_length__T8-P8,time,line_length,T8-P8,not_applicable
chb05,time__rms__F3-C3,time,rms,F3-C3,not_applicable
chb05,freq__theta__FT9-FT10,freq,theta,FT9-FT10,theta
chb05,time__std__F3-C3,time,std,F3-C3,not_applicable
chb05,time__rms__C3-P3,time,rms,C3-P3,not_applicable
chb05,freq__theta__F7-T7,freq,theta,F7-T7,theta
chb05,freq__theta__F3-C3,freq,theta,F3-C3,theta
chb05,time__rms__FZ-CZ,time,rms,FZ-CZ,not_applicable
chb05,freq__theta__F8-T8,freq,theta,F8-T8,theta
chb05,freq__delta__P7-O1,freq,delta,P7-O1,delta
chb05,time__line_length__FT10-T8,time,line_length,FT10-T8,not_applicable
chb05,time__std__C3-P3,time,std,C3-P3,not_applicable
chb05,time__std__FZ-CZ,time,std,FZ-CZ,not_applicable
chb05,freq__theta__P7-O1,freq,theta,P7-O1,theta
chb05,hjorth__activity__FZ-CZ,hjorth,activity,FZ-CZ,not_applicable
chb05,time__rms__P3-O1,time,rms,P3-O1,not_applicable
chb05,freq__theta__T8-P8,freq,theta,T8-P8,theta
chb05,hjorth__mobility__CZ-PZ,hjorth,mobility,CZ-PZ,not_applicable
chb05,freq__theta__P4-O2,freq,theta,P4-O2,theta
chb05,time__line_length__FP1-F7,time,line_length,FP1-F7,not_applicable
chb05,time__rms__P7-T7,time,rms,P7-T7,not_applicable
chb05,time__rms__F7-T7,time,rms,F7-T7,not_applicable
chb05,time__std__P3-O1,time,std,P3-O1,not_applicable
chb05,time__std__FP1-F7,time,std,FP1-F7,not_applicable
chb05,hjorth__activity__P7-O1,hjorth,activity,P7-O1,not_applicable
chb05,time__rms__FP1-F7,time,rms,FP1-F7,not_applicable
chb05,time__line_length__T8-P8,time,line_length,T8-P8,not_applicable
chb05,time__line_length__P8-O2,time,line_length,P8-O2,not_applicable
chb05,time__line_length__T7-FT9,time,line_length,T7-FT9,not_applicable
chb05,freq__gamma__T8-P8,freq,gamma,T8-P8,gamma
chb05,freq__delta__FP1-F3,freq,delta,FP1-F3,delta
chb05,freq__alpha__P7-O1,freq,alpha,P7-O1,alpha
chb05,time__line_length__CZ-PZ,time,line_length,CZ-PZ,not_applicable
chb05,entropy__perm__T7-FT9,entropy,perm,T7-FT9,not_applicable
chb05,time__std__P7-O1,time,std,P7-O1,not_applicable
chb05,time__rms__P7-O1,time,rms,P7-O1,not_applicable
chb05,freq__alpha__P7-T7,freq,alpha,P7-T7,alpha
chb05,freq__theta__FP2-F8,freq,theta,FP2-F8,theta
chb05,time__rms__CZ-PZ,time,rms,CZ-PZ,not_applicable
chb05,time__std__T7-P7,time,std,T7-P7,not_applicable
chb05,entropy__perm__F7-T7,entropy,perm,F7-T7,not_applicable
chb05,freq__delta__P8-O2,freq,delta,P8-O2,delta
chb05,time__std__P7-T7,time,std,P7-T7,not_applicable
chb05,freq__beta__F3-C3,freq,beta,F3-C3,beta
chb05,time__rms__C4-P4,time,rms,C4-P4,not_applicable
chb05,freq__theta__FT10-T8,freq,theta,FT10-T8,theta
chb05,freq__alpha__T7-P7,freq,alpha,T7-P7,alpha
chb05,freq__delta__P7-T7,freq,delta,P7-T7,delta
chb05,freq__alpha__FT9-FT10,freq,alpha,FT9-FT10,alpha
chb05,freq__gamma__P3-O1,freq,gamma,P3-O1,gamma
chb05,hjorth__mobility__T8-P8,hjorth,mobility,T8-P8,not_applicable
chb08,freq__alpha__FT9-FT10,freq,alpha,FT9-FT10,alpha
chb08,freq__theta__FT9-FT10,freq,theta,FT9-FT10,theta
chb08,freq__delta__C4-P4,freq,delta,C4-P4,delta
chb08,hjorth__activity__T8-P8,hjorth,activity,T8-P8,not_applicable
chb08,hjorth__mobility__T7-FT9,hjorth,mobility,T7-FT9,not_applicable
chb08,freq__delta__T8-P8,freq,delta,T8-P8,delta
chb08,time__std__P3-O1,time,std,P3-O1,not_applicable
chb08,time__std__FP2-F4,time,std,FP2-F4,not_applicable
chb08,time__rms__F7-T7,time,rms,F7-T7,not_applicable
chb08,time__rms__C3-P3,time,rms,C3-P3,not_applicable
chb08,hjorth__mobility__FT10-T8,hjorth,mobility,FT10-T8,not_applicable
chb08,freq__alpha__C4-P4,freq,alpha,C4-P4,alpha
chb08,freq__theta__FP1-F3,freq,theta,FP1-F3,theta
chb08,time__line_length__FT9-FT10,time,line_length,FT9-FT10,not_applicable
chb08,freq__theta__F8-T8,freq,theta,F8-T8,theta
chb08,freq__theta__FZ-CZ,freq,theta,FZ-CZ,theta
chb08,time__rms__P3-O1,time,rms,P3-O1,not_applicable
chb08,freq__delta__P3-O1,freq,delta,P3-O1,delta
chb08,entropy__spectral__C4-P4,entropy,spectral,C4-P4,not_applicable
chb08,freq__beta__FT9-FT10,freq,beta,FT9-FT10,beta
chb08,time__mean__C3-P3,time,mean,C3-P3,not_applicable
chb08,freq__alpha__T8-P8,freq,alpha,T8-P8,alpha
chb08,time__rms__P4-O2,time,rms,P4-O2,not_applicable
chb08,time__line_length__FT10-T8,time,line_length,FT10-T8,not_applicable
chb08,freq__gamma__C3-P3,freq,gamma,C3-P3,gamma
chb08,freq__delta__CZ-PZ,freq,delta,CZ-PZ,delta
chb08,time__rms__F8-T8,time,rms,F8-T8,not_applicable
chb08,time__rms__CZ-PZ,time,rms,CZ-PZ,not_applicable
chb08,hjorth__activity__P8-O2,hjorth,activity,P8-O2,not_applicable
chb08,time__std__FT9-FT10,time,std,FT9-FT10,not_applicable
chb08,freq__alpha__P3-O1,freq,alpha,P3-O1,alpha
chb08,time__line_length__C3-P3,time,line_length,C3-P3,not_applicable
chb08,time__std__FP1-F3,time,std,FP1-F3,not_applicable
chb08,freq__delta__F7-T7,freq,delta,F7-T7,delta
chb08,time__ptp__F3-C3,time,ptp,F3-C3,not_applicable
chb08,freq__delta__FP2-F4,freq,delta,FP2-F4,delta
chb08,freq__delta__F8-T8,freq,delta,F8-T8,delta
chb08,freq__theta__C3-P3,freq,theta,C3-P3,theta
chb08,freq__theta__FP2-F4,freq,theta,FP2-F4,theta
chb08,hjorth__mobility__FT9-FT10,hjorth,mobility,FT9-FT10,not_applicable
chb08,time__line_length__T7-FT9,time,line_length,T7-FT9,not_applicable
chb08,time__rms__T7-FT9,time,rms,T7-FT9,not_applicable
chb08,time__line_length__FZ-CZ,time,line_length,FZ-CZ,not_applicable
chb08,hjorth__complexity__FT9-FT10,hjorth,complexity,FT9-FT10,not_applicable
chb08,time__ptp__F4-C4,time,ptp,F4-C4,not_applicable
chb08,freq__gamma__FT9-FT10,freq,gamma,FT9-FT10,gamma
chb08,freq__theta__C4-P4,freq,theta,C4-P4,theta
chb08,time__ptp__FZ-CZ,time,ptp,FZ-CZ,not_applicable
chb08,time__std__T8-P8,time,std,T8-P8,not_applicable
chb08,hjorth__complexity__FP2-F4,hjorth,complexity,FP2-F4,not_applicable
